ID,Software,Link,Description,Subtype,Year,Last Modified
CB1,Apache httpd,https://serverfault.com/questions/667638/apache-fails-after-configuration-of-2-virtual-hosts,Apache fails after configuration of 2 virtual hosts,Resource competing,2015,2015
CB2,Apache httpd,https://serverfault.com/questions/481346/why-does-apache-fail-to-start-and-only-say-configuration-failed-in-error-log,No space left on device: Couldn't create accept lock,Resource competing,2013,2020
CB3,PostgreSQL,https://stackoverflow.com/questions/13719359/ruby-on-rails-error-when-running-rake-dbmigrate/13719484#13719484,Ruby On Rails Error when running rake db:migrate,Resource competing,2012,2012
CB4,Apache httpd,https://serverfault.com/questions/128809/apache-error-with-suexec-only,Apache error with suEXEC only,Unauthorized access,2010,2010
CB5,Apache httpd,https://serverfault.com/questions/234787/why-apache-throws-403-on-index-file-after-install,Why apache throws 403 on index file after install?,Unauthorized access,2011,2011
CB6,Apache httpd,https://serverfault.com/questions/294725/php-serving-blank-pages-to-1-of-users,PHP serving blank pages to <1% of users,Unauthorized access,2011,2011
CB7,Apache httpd,https://serverfault.com/questions/296997/completely-random-403-errors-despite-explicit-allow-from-all,Completely random 403 errors despite explicit Allow from all,Unauthorized access,2011,2011
CB8,Apache httpd,https://serverfault.com/questions/325889/access-denied-for-php-files-only,Access Denied for PHP Files Only,Unauthorized access,2011,2017
CB9,Apache httpd,https://serverfault.com/questions/579661/apache2-randomly-stop-working-error-403,"Apache2 randomly stop working, error 403",Unauthorized access,2014,2014
CB10,Apache httpd,https://serverfault.com/questions/599723/apache-2-4-with-php-5-5-ldap-in-php-not-working,"Apache 2.4 with PHP 5.5, LDAP in PHP not working",Unauthorized access,2014,2014
CB11,Apache httpd,https://serverfault.com/questions/936134/apache-local-virtualhosts-not-working-502-error,Apache Local virtualhosts not working (502 error),Unauthorized access,2018,2018
CB12,Apache httpd,https://serverfault.com/questions/972149/django-on-apache-gives-500-error-error-log-has-client-denied-by-server-configu,"Django on Apache gives 500 error, error log has “client denied by server configuration”",Unauthorized access,2019,2022
CB13,Apache httpd,http://serverfault.com/questions/438726/apache-permission-denied-on-fedora-17-ec2-instance,apache permission denied on fedora 17 ec2 instance,Unauthorized access,2012,2012
CB14,Apache httpd,http://serverfault.com/questions/89399/https-timeout-while-http-works,https timeout while http works,Unauthorized access,2009,2014
CB15,Apache httpd,https://serverfault.com/questions/128809/apache-error-with-suexec-only,Apache error with suEXEC only,Unauthorized access,2010,2010
CB16,Apache httpd,https://serverfault.com/questions/229875/install-mod-perl2-on-apache-2-2-14-ubuntu10-04,"module perl_module is already loaded, skipping",Unauthorized access,2011,2013
CB17,Apache httpd,https://serverfault.com/questions/491399/can-i-suppress-apache2-error-messages-about-clients-denied-by-server-configurati,apache error log is filling up with [error] [client 108.62.178.124] client denied by server configuration,Unauthorized access,2013,2013
CB18,Apache httpd,https://serverfault.com/questions/587418/apache-2-4-403-http-status-code,Apache 2.4 - 403 HTTP status code,Unauthorized access,2014,2014
CB19,Apache httpd,https://serverfault.com/questions/814829/apache-ssl-invalid-certificate-chain-with-https-www,Apache SSL invalid certificate chain with “https://www”,Unauthorized access,2016,2016
CB20,MySQL,http://stackoverflow.com/questions/7928675/mysql-i-cannot-login-as-root-after-upgrading-to-5-5,mysql i cannot login as root after upgrading to 5 5,Unauthorized access,2011,2020
CB21,MySQL,http://serverfault.com/questions/256254/mysql-server-doesnt-startup,mysql server doesnt startup,Unauthorized access,2011,2014
CB22,MySQL,http://stackoverflow.com/questions/19117487/i-cant-start-mysql-on-linux-error-mysqld-safe,i cant start mysql on linux error mysqld safe,Unauthorized access,2013,2018
CB23,MySQL,http://serverfault.com/questions/258709/attempted-to-change-database-drive-resulted-in-cant-connect-to-local-mysql-ser,attempted to change database drive resulted in cant connect to local mysql ser,Unauthorized access,2011,2013
CB24,Nginx,https://serverfault.com/questions/170192/nginx-php-fpm-permission-denied-error-13-in-nginx-log-configuration-mista,"nginx + PHP-FPM = ""permission denied"" error 13 in nginx log; configuration mistake?",Unauthorized access,2010,2016
CB25,Nginx,https://serverfault.com/questions/442215/error-404-when-using-limit-rate-in-nginx,Error 404 when using $limit_rate in nginx,Unauthorized access,2012,2012
CB26,Nginx,https://serverfault.com/questions/525283/centos-vsftpd-nginx-php-fpm-permission-denied-500-internal-server-error,Centos / vsFTPD / Nginx / php-fpm - Permission denied (500 Internal Server Error),Unauthorized access,2013,2014
CB27,Nginx,https://serverfault.com/questions/601063/nginx-php-fpm-on-centos-6-5-gives-me-502-bad-gateway-fpm-error-unable-to-rea,Nginx + PHP-FPM on Centos 6.5 gives me 502 Bad Gateway (fpm error: unable to read what child say: Bad file descriptor),Unauthorized access,2014,2014
CB28,Nginx,https://serverfault.com/questions/616788/nginx-403-forbidden-on-some-files-extensions,Nginx: 403 Forbidden on some files extensions,Unauthorized access,2014,2014
CB29,Nginx,https://serverfault.com/questions/666553/os-x-10-10-localhost-environment-using-nginx-mysql-and-php-via-homebrew,"OS X 10.10 Localhost Environment using nginx, mysql, and php via Homebrew",Unauthorized access,2015,2015
CB30,Nginx,https://serverfault.com/questions/688461/no-write-permission-for-wordpress-under-nginx-in-centos-7,No write permission for Wordpress under Nginx in CentOS 7,Unauthorized access,2015,2015
CB31,Nginx,https://serverfault.com/questions/710404/nginx-configuration504-gateway-time-out-error,"*798 upstream timed out (110: Connection timed out) while connecting to upstream, client: 10.100.88.210",Unauthorized access,2015,2021
CB32,Nginx,https://serverfault.com/questions/735348/php-fpm-corrupts-my-socket-permission-on-startup,Php-fpm corrupts my socket permission on startup,Unauthorized access,2015,2015
CB33,Nginx,https://serverfault.com/questions/768818/centos-7-nginx-13-permission-denied-while-loading-font-file-from-css,CentOs 7 Nginx (13: Permission denied) while loading font file from css,Unauthorized access,2016,2016
CB34,Nginx,https://serverfault.com/questions/779450/phpmyadmin-on-centos-7-with-nginx-returns-blank-page,phpMyAdmin on CentOS 7 with NGINX returns blank page,Unauthorized access,2016,2016
CB35,Nginx,https://serverfault.com/questions/814433/symfony-centos-nginx-php-fpm-cache-error,"Symfony, CentOS, NGINX, php-fpm cache error",Unauthorized access,2016,2016
CB36,Nginx,https://serverfault.com/questions/963306/how-do-i-get-nginx-to-work-with-subdirectories-nginx-lets-encrypt-basic-aut,"How do I get Nginx to work with subdirectories? [Nginx, Let's Encrypt, basic auth]",Unauthorized access,2019,2019
CB37,Nginx,https://serverfault.com/questions/984534/php-fpm-couldnt-find-script-until-i-moved-in-a-specific-directory,php-fpm couldn't find script until I moved in a specific directory,Unauthorized access,2019,2022
CB38,Nginx,https://stackoverflow.com/questions/20182329,Nginx is throwing an 403 Forbidden on Static Files,Unauthorized access,2013,2022
CB39,Nginx,https://stackoverflow.com/questions/27250982/setup-codiad-with-nginx-installation-error,Setup Codiad with Nginx Installation Error,Unauthorized access,2014,2015
CB40,Nginx,https://stackoverflow.com/questions/34258894/nginx-still-try-to-open-default-error-log-file-even-though-i-set-nginx-config-fi,Nginx still try to open default error log file even though I set nginx config file while reloading,Unauthorized access,2015,2022
CB41,Nginx,https://stackoverflow.com/questions/64996430/my-https-ssl-tls-nginx-configuration-give-me-timeout,My HTTPS (SSL/TLS) nginx configuration give me timeout,Unauthorized access,2020,2020
CB42,Nginx,https://stackoverflow.com/questions/6795350/nginx-403-forbidden-for-all-files,Nginx 403 forbidden for all files,Unauthorized access,2011,2024
CB43,Nginx,https://stackoverflow.com/questions/63178715/sec-error-adding-cert-error-adding-certificate-to-database,SEC_ERROR_ADDING_CERT: Error adding certificate to database,Unauthorized access,2020,2021
CB44,Others,https://serverfault.com/questions/315110/installing-software-on-a-shared-linux-godaddy-server,Installing software on a shared linux godaddy server,Unauthorized access,2011,2011
CB45,Others,https://serverfault.com/questions/665228/zabbix-cannot-connect-to-a-postgresql-database,Zabbix cannot connect to a PostgreSQL database,Unauthorized access,2015,2018
CB46,PHP,https://serverfault.com/questions/1044865/php-fpm-detected-unsafe-path-transition-error-message-how,php-fpm Detected unsafe path transition error message. How?,Unauthorized access,2020,2020
CB47,PHP,https://serverfault.com/questions/276096/drupal-php-installation-does-not-support-mysql,Drupal PHP installation does not support MySQL,Unauthorized access,2011,2011
CB48,PHP,https://serverfault.com/questions/287788/enabling-apc-causes-internal-server-error,Enabling APC causes internal server error,Unauthorized access,2011,2015
CB49,PHP,https://serverfault.com/questions/30967/lighttpd-cannot-create-php-fastcgi-socket,Lighttpd cannot create php-fastcgi.socket,Unauthorized access,2009,2021
CB50,PHP,https://serverfault.com/questions/415430/directadmin-subdomains-documentroot-in-other-users-directory-tree-vs-running,DirectAdmin - subdomain's DocumentRoot in other user's directory tree vs running PHP [closed],Unauthorized access,2012,2015
CB51,PHP,https://serverfault.com/questions/61461/iis6-php-upload,IIS6 + PHP upload,Unauthorized access,2009,2009
CB52,PHP,https://serverfault.com/questions/806235/permission-denied-creating-folder-after-setting-parent-folder-as-www-data-user,Permission denied creating folder after setting parent folder as www-data user,Unauthorized access,2016,2016
CB53,PHP,https://serverfault.com/questions/961736/php-move-uploaded-file-fail,PHP move_uploaded_file fail failed to open stream,Unauthorized access,2019,2019
CB54,PostgreSQL,https://serverfault.com/questions/979282/errors-when-attempting-to-connect-to-postgresql-9-6-using-ssl-wildcard-server-ce/979565#979565,Errors when attempting to connect to PostgreSQL 9.6 using SSL wildcard server certificate and no client certificates,Unauthorized access,2019,2019
CB55,Apache httpd,https://serverfault.com/questions/567960/tortoisesvn-repository-browser-kills-the-apache-process,TortoiseSVN repository browser kills the apache process,Hardware limitation,2014,2014
CB56,Apache httpd,https://serverfault.com/questions/563123/error-502-random-ssl-library-error-336151568-error14094410,Error 502 - Random SSL Library Error: 336151568 error:14094410,Hardware limitation,2013,2014
CB57,Apache httpd,https://serverfault.com/questions/403369/getting-internal-server-error-after-updating-server-config-via-whm,Getting internal server error after updating server config via WHM,Hardware limitation,2012,2013
CB58,Apache httpd,https://serverfault.com/questions/1039397/apache-httpd-is-restarting-once-a-day-with-error-ah00428-parent-child-process,apache httpd is restarting once a day with error AH00428: Parent: child process xxxxx exited with status 3221225477 — Restarting,Hardware limitation,2020,2020
CB59,Apache httpd,https://serverfault.com/questions/704569/memory-leak-on-apache,Memory leak on Apache,Hardware limitation,2015,2017
CB60,Nginx,https://serverfault.com/questions/211528/using-nginx-wordpress-with-all-wordpress-files-in-a-subdirectory,Using nginx + wordpress with all wordpress files in a subdirectory,Identifier error,2010,2021
CB61,Apache httpd,https://serverfault.com/questions/418547/apache-mod-fastcgi,Apache mod_fastcgi,Identifier error,2012,2012
CB62,Apache httpd,https://serverfault.com/questions/176771/apache2-virtual-host-in-a-vm-trouble-accessing-from-host-machine,"Apache2 virtual host in a VM, trouble accessing from host machine",Identifier error,2010,2010
CB63,Apache httpd,https://serverfault.com/questions/393159/wildcard-dns-non-existent-subdomains-point-to-main-website,"Wildcard dns, non-existent subdomains point to main website",Identifier error,2012,2012
CB64,Apache httpd,https://serverfault.com/questions/654805/apache-limit-directive-does-not-allow-to-see-localhost-project-over-lan,Apache LIMIT directive does not allow to see localhost project over LAN,Identifier error,2014,2014
CB65,Apache httpd,https://serverfault.com/questions/723200/increasing-fcgidmaxprocesses-does-not-help-to-solve-mod-fcgid-cant-apply-proc,Increasing FcgidMaxProcesses does not help to solve “mod_fcgid: can't apply process slot” error,Identifier error,2015,2016
CB66,Apache httpd,https://stackoverflow.com/questions/1055045,Apache on Windows and Fiddler,Identifier error,2009,2014
CB67,Apache httpd,https://serverfault.com/questions/594020/using-proxypassmatch-for-fastcgi-results-in-connection-refused-on-port-9000,"Using ProxyPassMatch for FastCGI, results in connection refused on port 9000",Identifier error,2014,2017
CB68,Apache httpd,https://serverfault.com/questions/851187/apache-does-not-listen-to-specified-port,Apache does not listen to specified port,Identifier error,2017,2017
CB69,Apache httpd,https://serverfault.com/questions/873958/iis-hosted-wcf-service-accessible-from-one-domain-but-not-the-other,IIS hosted WCF service accessible from one domain but not the other,Identifier error,2017,2017
CB70,Apache httpd,https://serverfault.com/questions/229202/apache2-mod-proxy-in-conjuction-with-mod-rewrite-not-working-as-expected,apache2 mod_proxy in conjuction with mod_rewrite not working as expected,Identifier error,2011,2012
CB71,Apache httpd,https://serverfault.com/questions/233607/php-ini-does-not-load,PHP.ini does not load,Identifier error,2011,2011
CB72,Apache httpd,https://serverfault.com/questions/414411/session-cache-is-not-configured-why,Session Cache is not configured… why?,Identifier error,2012,2021
CB73,Apache httpd,https://serverfault.com/questions/431832/why-am-i-getting-network-error-403-forbidden-in-firebug-for-files-i-am-not-tryi,Why am I getting Network error: 403 Forbidden in firebug for files I am not trying to access?,Identifier error,2012,2016
CB74,Apache httpd,https://serverfault.com/questions/440728/unable-to-upload-to-tmp-directory,Unable to upload to tmp directory,Identifier error,2012,2012
CB75,Apache httpd,https://serverfault.com/questions/893537/could-be-directory-index-forbidden-by-options-directive-the-cause-for-request,Could be “Directory index forbidden by Options directive” the cause for “Request exceeded the limit of 10 internal redirects”?,Identifier error,2018,2018
CB76,Apache httpd,https://stackoverflow.com/questions/119336,ssl_error_rx_record_too_long and Apache SSL [closed],Identifier error,2008,2022
CB77,Apache httpd,http://serverfault.com/questions/105670/xampp-apache-server-not-working-on-internal-network,xampp apache server not working on internal network,Identifier error,2010,2010
CB78,Apache httpd,http://serverfault.com/questions/356391/setting-up-virtualhost-on-osx-10-7-lion,setting up virtualhost on osx 10 7 lion,Identifier error,2012,2012
CB79,Apache httpd,https://serverfault.com/questions/1052301/apache-2-4-ignores-mod-proxy,Apache 2.4 ignores mod_proxy?,Identifier error,2021,2021
CB80,Apache httpd,https://serverfault.com/questions/18789/ssl-error-handshake-failure-alert-with-commercial-ca-based-client-certificate,ssl_error_handshake_failure_alert with Commercial CA-based client certificate,Identifier error,2009,2010
CB81,Apache httpd,http://serverfault.com/questions/216771/apache-named-virtual-hosts-and-https,apache named virtual hosts and https,Identifier error,2010,2010
CB82,Apache httpd,http://serverfault.com/questions/218961/mindtouch-broke-my-apache2-virtual-host-configuration,mindtouch broke my apache2 virtual host configuration,Identifier error,2011,2011
CB83,Apache httpd,http://serverfault.com/questions/362182/changing-the-default-apache-port-doesnt-work,changing the default apache port doesnt work,Identifier error,2012,2019
CB84,Apache httpd,http://serverfault.com/questions/562100/ubuntu-12-04-vhost-page-not-found,ubuntu 12 04 vhost page not found,Identifier error,2013,2013
CB85,Apache httpd,https://serverfault.com/questions/22869/have-i-messed-up-buying-the-wrong-ssl-certificate-for-my-domain,Have I messed up buying the wrong SSL certificate for my domain?,Identifier error,2009,2010
CB86,Apache httpd,https://serverfault.com/questions/768633/apache-virtualhost-configuration-wont-get-matched,Apache VirtualHost configuration won't get matched,Identifier error,2016,2016
CB87,Apache httpd,https://serverfault.com/questions/929391/ubuntu-define-correct-virtual-host-on-81-port,Ubuntu define incorrect virtual host on :81 port,Identifier error,2018,2018
CB88,Apache httpd,http://serverfault.com/questions/115183/ubuntu-server-mod-chroot-apache2-problem,ubuntu server mod chroot apache2 problem,Identifier error,2010,2010
CB89,Apache httpd,http://serverfault.com/questions/342322/why-isnt-excluding-a-folder-in-mod-rewrite-not-taken-in-account,why isnt excluding a folder in mod rewrite not taken in account,Identifier error,2011,2011
CB90,Apache httpd,http://serverfault.com/questions/76222/apache-not-letting-me-into-a-folder,apache not letting me into a folder,Identifier error,2009,2009
CB91,Apache httpd,https://serverfault.com/questions/599055/permissions-denied-on-apache-rewrite-module-virtual-host-configuration,"keep getting ""Permissions denied"" on apache 2 virtualhost once we moved it to its own conf file",Identifier error,2014,2018
CB92,Apache httpd,https://serverfault.com/questions/1017781/every-apache-request-returns-a-ah01797-error,Every Apache request returns a AH01797 error,Identifier error,2020,2020
CB93,Apache httpd,https://serverfault.com/questions/1018387/apache-reverse-proxy-503-custom-page-not-working,Apache reverse proxy 503 custom page not working,Identifier error,2020,2020
CB94,Apache httpd,https://serverfault.com/questions/22369/what-should-the-django-settings-module-be-set-to-in-apache-when-deploying-a-djan,What should the DJANGO_SETTINGS_MODULE be set to in Apache when deploying a django app?,Identifier error,2009,2009
CB95,Apache httpd,https://serverfault.com/questions/258848/i-cant-get-ruby-on-rails-passenger-apache-to-work,Can't Get Ruby on Rails + Passenger + Apache to Work,Identifier error,2011,2012
CB96,Apache httpd,https://serverfault.com/questions/446510/apache-php-via-fastcgi,The requested URL was not found on this server,Identifier error,2012,2012
CB97,Apache httpd,https://serverfault.com/questions/722904/apache-vhost-ah01630-client-denied-by-server-configuration,Apache vhost AH01630: client denied by server configuration,Identifier error,2015,2015
CB98,Apache httpd,https://serverfault.com/questions/800102/error-using-mod-jk-in-httpd-undefined-symbol-ap-get-server-version,Error using mod_jk in httpd: undefined symbol: ap_get_server_version,Identifier error,2016,2024
CB99,Apache httpd,https://serverfault.com/questions/101164/apache2-could-not-reliably-determine-the-servers-fully-qualified-domain-name,apache2: Could not reliably determine the server's fully qualified domain name,Identifier error,2010,2012
CB100,Apache httpd,https://serverfault.com/questions/599055/permissions-denied-on-apache-rewrite-module-virtual-host-configuration?r=SearchResults,Permissions denied on apache rewrite module virtual host configuration,Identifier error,2014,2018
CB101,Apache httpd,https://serverfault.com/questions/830373/apache-wont-reload-and-apachectl-s-t-doesnt-display-anything,"Apache won't reload, and apachectl -S / -t doesn't display anything",Identifier error,2017,2017
CB102,Apache httpd,https://serverfault.com/questions/98055/django-could-not-import-settings-settings-py-error,Django “Could not import settings 'settings.py'” error,Identifier error,2009,2009
CB103,Apache httpd,https://serverfault.com/questions/499941/svn-repository-moved-permanently-error-apache-configuration-issue,svn repository was moved permanently,Identifier error,2013,2013
CB104,Hadoop,https://stackoverflow.com/questions/51824229/hadoop-fs-ls-call-from-server-127-0-1-1-to-localhost-failed/51968483#51968483,hadoop fs -ls : Call From server/127.0.1.1 to localhost failed,Identifier error,2018,2018
